topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,follow,part,monthly,money,tube,resident,writing,facebook,twitter,chief
1,people,donate,educate,write,inquiry,social,twitter,resident,pay,mail
2,focus,time,personally,writing,inform,medium,mail,free,twitter,watch
3,regularly,life,persuade,produce,connected,follow,personal,payment,এব,feel
4,donate,people,management,facebook,payment,pay,medium,inquiry,public,আল
5,movement,paypal,achievement,free,entertain,partner,mail,visit,social,promotional
6,facebook,watch,visit,update,work,feel,write,connected,website,truth
7,follow,talk,focus,feel,work,promotional,partner,tube,personal,educate
8,achievement,pal,build,change,public,visit,page,connected,student,writing
9,page,video,recur,website,entertain,inform,promotional,personally,social,today
