topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,fight,police,kill,call,big,stop,rise,vote,leader,turn
1,episode,die,live,good,work,give,immigration,end,deal,save
2,trump,election,full,border,leave,happen,speech,child,watch,immigrant
3,attack,man,migrant,speak,shoot,death,chinese,pay,state,system
4,world,country,woman,life,military,law,nuclear,drug,headline,plan
5,war,time,people,trailer,crisis,force,russian,campaign,line,lead
6,make,break,gun,school,protester,city,presidential,talk,lose,candidate
7,black,student,year,debate,history,government,video,newshour_debate,change,murder
8,powerful,dispatch,explain,fire,back,terrorist,medium,isis,prison,teen
9,part,news,protest,vice,tonight,family,interview,face,arrest,deadly
